ID,REVISIÓN
1,Todo estaba muy limpio.
2,El personal era amable y servicial.
3,Gente muy agradable
4,La habitación en sí estaba muy limpia.
5,Personal super amable y servicial.
6,Buen personal.
7,Personal servicial
8,El desayuno estuvo bien.
9,La ubicacion es excelente.
10,Encontramos wifi gratis en todos los demás lugares a los que fuimos
11,La habitación era muy pequeña y me cobraron 50 dólares.
12,El aparcamiento era un problema y muy caro.
13,"la escalera es un poco vieja y polvorienta donde se están realizando las obras y andamios en todo el frente del hotel ... como dije, no es un gran problema"
14,Tienes que pagar extra por wifi cada 24 horas.
15,La seguridad me regañó en el bar de la azotea por sentarme en el área equivocada. La habitación era pequeña.
16,¡No hay WiFi en el hotel a menos que esté dispuesto a pagar más de lo esperado!
17,"Hoy en día, Internet debería ser gratis en todas partes."
18,"La antigua torre no se ha revisado desde los años 70, no hay máquina de hielo, no hay wifi gratuito, la televisión no funciona correctamente, etc."
19,"Personal amable, ubicación, wifi ultrarrápido, impresora en el centro de negocios / salón, instalaciones en las habitaciones."
20,"Todo, comodidad y limpieza de la habitación, los miembros del personal son muy amables y hospitalarios, la ubicación es perfecta en el corazón de Nueva York, a 2 minutos a pie de Times Sq."
21,"Camas cómodas y buena ubicación,"
22,"Tranquilo, limpio, excelente ubicación."
23,"También está muy cerca de restaurantes, bares y tiendas (aunque prefiero East o West Village para salir de noche)."
24,El personal era muy agradable ... los baños eran muy agradables.
25,La conexión Wi-Fi gratuita también es una ventaja.
26,La ubicación y la habitación eran excepcionales.
27,"Las habitaciones son muy bonitas y limpias y si tienes suerte, obtienes una vista increíble."
28,"Ubicación: a 5 minutos de la Línea 1 del Subte, a 10 minutos de Central Park, variedad de restaurantes en la zona"
29,"Diseño elegante, sofás cómodos y agradables en el vestíbulo junto a la chimenea, personal de recepción realmente servicial, restaurante de moda y bar frecuentado por lugareños."
30,El personal era amable y el desayuno gratuito era excelente.
31,Wifi decente
32,internet gratis en la habitación
33,"Genial: bar, excelente ubicación, habitaciones de gran tamaño con una buena relación calidad-precio, noche cálida en NY a -10 C"
34,Hay un Deli a pocos metros del hotel.
35,La habitación estaba limpia y era cómoda y la inclusión del desayuno también era genial.
36,Excelente ubicación y espacio para 3 personas.
37,Junto a Balthazar para un delicioso desayuno.
38,El personal de recepción es muy antipático: no responde a las necesidades y da información incorrecta.
39,"El personal es educado, conversador y muy servicial."
40,"Aunque estaba limpia y la cama era cómoda, la habitación era un poco pequeña."
41,¡Y lo mejor de todo fue la ubicación!
42,"Wi-Fi esporádico, conexión muy lenta."
43,Las alfombras del pasillo y la alfombra de la habitación estaban sucias.
44,"A poca distancia del Empire State Building, Times Square, Central Park y Grand Central estaba a la vuelta de la esquina si prefiere tomar un tren o metro."
45,"Las habitaciones son extremadamente pequeñas, prácticamente solo una cama."
46,Colchón muy cómodo.
47,No se ofrece desayuno.
48,Fue muy conveniente.
49,El personal era miserable.
50,Sin baño en la habitación
51,Toda la cama olía asquerosa y tenía mantas realmente baratas.
52,El personal del restaurante es mucho mejor que el del hotel.
53,La cama era tan cómoda.
54,El personal de recepción no fue muy amable y aparentemente no le gustó su trabajo en absoluto.
55,Las camas son cómodas y el aire acondicionado funciona bien
56,Muy cerca de Times Square
57,"Habitaciones muy bien ubicadas, modernas, grandes y limpias."
58,El personal fue increíble.
59,El área puede ser peligrosa incluso cerca de la estación de metro.
60,alguien debe haber estado fumando en la habitación de al lado.
61,"Sucio, el ascensor es lento, tiene que compartir el baño con otros"
62,"Desayuno buffet muy bueno, nos mantuvo hasta la noche."
63,"Habitaciones muy amplias, tranquilas y muy cómodas."
64,Las luces de la sala común eran demasiado tenues.
65,Aire acondicionado funcionando bien.
66,Me quedé 5 días más con el mismo mal olor.
67,"Para los que están relativamente en forma, también está a poca distancia de Times Square / 5th Avenue, etc."
68,Mala actitud como si no quisiera estar allí.
69,"ubicación, bonita habitación tranquila y cómoda, gran wifi, excelente desayuno buffet gratuito"
70,Echaba de menos tener una nevera o un desayuno en el lugar
71,"La ubicación es genial, a una cuadra y media de la estación Grand Central."
72,"Aproximadamente a 5 cuadras a pie de Grand Central, donde puede acceder a muchas líneas de metro."
73,"Muy cerca del metro, fácil de encontrar."
74,"Terribles y pequeños cubículos, que se comercializan como habitaciones."
75,Nuestra habitación daba a la parte trasera de otro edificio de oficinas.
76,Excelente precio para un viajero de negocios en solitario.
77,Fue maravilloso trabajar con todos en este hotel.
78,El gimnasio era muy pequeño y básico.
79,"Los colchones eran demasiado ""elásticos"" e incómodos."
80,Hizo que fuera realmente fácil llegar a cualquier lugar en poco tiempo.
81,Nos pasaron de categoría.
82,El personal es muy agradable en el mostrador.
83,La habitación no se limpió ni se hizo la cama
84,"Habitaciones limpias, servicio de recepción genial, experiencia muy personal en general."
85,Cerca de Times Square.
86,Está cerca de dos estaciones de metro: Grand St y Bowery St
87,"La ubicación es increíble, justo en el corazón del distrito Flatiron."
88,No había máquinas expendedoras que funcionaran.
89,"El calor en la habitación fluctuaba, a veces sentía una pequeña corriente de aire, y en mi última noche, el ventilador era muy ruidoso."
90,"La ubicación del hotel es perfecta: a 20 metros del metro (C, E) ya una cuadra de la línea roja."
91,"El edificio estaba en renovación,"
92,"Desayuno perfecto, gran comienzo del día."
93,"Este hotel es más adecuado para viajes de negocios que para turistas, porque el centro está demasiado lejos de la mayoría de las atracciones de Manhattan."
94,Habitación demasiado pequeña para abrir la maleta.
95,"Casi todo, precio razonable para la ubicación, perfectamente ubicado, personal excelente."
96,ningún ascensor puede ser un desafío para algunas personas
97,Me picaron chinches.
98,Recibimos un descuento de $ 100 por noche cuando nos quejamos.
99,Tuve que pedirlo y obtuve solo 60 dólares de descuento.
100,La ubicación era excelente y el precio increíble.
101,La televisión no funcionaba.
102,Los pasillos de la habitación estaban viejos y no se sentían limpios.
103,el personal traerá el equipaje.
104,Parece que tienen un sesgo de género ya que solo veo a hombres trabajando en la recepción cada vez que visito el hotel.
105,El agua caliente era abundante y el aire acondicionado (unidad de ventana) estaba helado - ¡Excelente!
106,¡El desayuno era delicioso cada mañana!
107,El bar tiene un gran ambiente y sirve comida deliciosa.
108,"Internet debería ser gratis, realmente no es bueno."
109,También me cobraron de más por la limpieza en seco.
110,"Dado que esto es Nueva York y tiene un precio razonable, creo que es bastante justo."
111,También hay una estación de metro justo fuera del hotel y muchos lugares para comer y comprar.
112,Todo lo que necesitábamos estaba allí o con una llamada telefónica.
113,Cosmo se hizo de la manera correcta en todos los demás restaurantes y salones durante nuestra estadía.
114,"Nos gustó mucho la ubicación, también el personal."
115,Ubicación y precio: inmejorable en Manhattan
116,Apenas hay espacio para algo más que dormir.
117,El ascensor fue un poco complicado con el acceso con tarjeta.
118,El wi-fi gratuito era irregular y la mayor parte del tiempo no funcionaba sin explicación del personal.
119,"El personal fue increíble, muy amable y servicial."
120,"Personal amable, buena ubicación y limpio !!"
121,"Un hotel muy bueno, con una buena relación calidad-precio."
122,Tuvimos que ir al ascensor para obtener una señal adecuada.
123,La ubicación era increíble y la habitación era lo suficientemente grande para nosotros tres.
124,Falta de té o café de cortesía.
125,El acceso wifi fue excelente.
126,no son buenas condiciones de relación calidad-precio.
127,Wifi gratuito fiable.
128,El personal podría beneficiarse del servicio con una sonrisa.
129,"Pero ese desayuno, aunque bueno, era excesivamente caro."
130,El precio razonable.
131,El restaurante es muy bueno.
132,no es un desayuno real.
133,"El vestíbulo está super cargado y tuve un encuentro con una cucaracha en mi habitación, asqueroso."
134,La parte superior de la ventana fue luego cubierta por la persiana sucia.
135,"Sinceramente, la habitación es cara."
136,"La ubicación era excelente, excelentes pequeños artículos como vino / queso y desayuno complementarios era bueno."
137,"esto era de esperar, toallas limpias y limpieza de la habitación todos los días."
138,"Oye, obtienes lo que pagas."
139,El personal servicial y eficiente.
140,"Las estancias en Nueva York son caras, así que siempre que no tengas expectativas altas, esta es una buena opción."
141,La cafetería era genial y hacen buena comida.
142,Disfrutamos de bebidas en el patio del hotel.
143,"aseo, amenidades en el baño con espejo de aumento, azulejos y mármol."
144,El baño esta sucio.
145,Gran restaurante en el hotel.
146,El tipo de la recepción fue el recepcionista más antipático de todos.
147,Hotel confortable con buen restaurante adjunto.
148,Wifi fue una ventaja.
149,Este hotel fue perfecto para mis necesidades; buen valor para el dinero.
150,"Excelente relación calidad-precio, personal profesional y excelente alojamiento."
151,"Baño sin limpiar, Sin ascensor, Sin calentador, No hay suficientes baños o inodoros en cada piso"
152,No tenía dinero durante todo mi viaje porque gasté 1200 en total en mi habitación por 5 noches.
153,"Sin embargo, el restaurante de la planta baja sirve buena comida a precios razonables."
154,La habitación estaba limpia y el personal amable.
155,Las ventanas no se han limpiado durante años (si es que alguna vez lo han hecho).
156,La conexión a Internet era muy mala.
157,"En una nota positiva, estaba limpio, siempre había agua caliente y ascensores para que no tengas que subir tu equipaje por las escaleras."
158,"Larissa en la recepción fue amable y profesional, nuestra habitación en el piso 27 era buena"
159,"excelente hotel, limpio, personal muy amable y cortés, camas muy cómodas"
160,"Tuve que llamar varias veces para obtener más café ""gratuito""."
161,la alfombra está vieja y manchada.
162,Restaurante / bar conveniente y desayuno continental.
163,"Personal muy agradable, habitación limpia, cómoda."
164,"Gran personal, ubicación, desayuno."
165,"Excelente ubicación, personal muy tranquilo, servicial y complaciente."
166,Es un hotel limpio de excelente ubicación y buen personal.
167,"La conexión WIFI no es muy estable,"
168,Desayunamos en el hotel y la comida era buena y el servicio también era bueno.
169,La conexión wifi no era buena.
170,Máquina de gofres belga en el desayuno era genial.
171,"Muy céntrico, la habitación estaba limpia, el bar tiene un gran ambiente, ofrece un desayuno gratis por la mañana y té y café gratis en el bar durante el día"
172,"El personal era amable y servicial, el wifi fuerte, ¡más opciones de comida para el desayuno!"
173,"Ubicación, áreas comunes limpias"
174,El hotel estaba muy limpio y tenía carácter.
175,hizo unas vacaciones muy caras.
176,Baños sucios.
177,"El hotel era cómodo, limpio y con una excelente ubicación."
178,había polvo y pañuelos debajo de la cama.
179,Me cobraron por este hotel a pesar de que cancelé 4 días antes de llegar.
180,"Ubicación, recepción nocturna en la sala de lectura, personal amable y eficiente, bar en la azotea, restaurante en la planta baja."
181,"Internet en la habitación: no importa cómo la gerencia del hotel lo justifique, pagar por un servicio BÁSICO como Internet en estos días es ridículo."
182,El suelo no estaba muy limpio.
183,Todos estuvimos de acuerdo en que nos gustaría ver una opción de carne como salchichas en el desayuno.
184,¡Incluso una buena tarifa en Nueva York no es barata!
185,Mi habitación estaba impecable y olía tan fresco y limpio.
186,"Personal super agradable, muy limpio, la cama era super cómoda, linda vista, buena ubicación."
187,Pero decir solo de los pocos hoteles con desayuno gratis
188,El precio es demasiado caro
189,"Wifi inestable, calentador débil, falta de servicios de café / té"
190,La calidad del desayuno continental era mala.
191,"Servicio conveniente, amable y disponibilidad de refrigerios durante todo el día."
192,Sin ensalada de frutas.
193,"Las habitaciones son muy pequeñas, es solo un armario con una cama, no hay espacio para hacer nada y el personal no fue útil en absoluto, guau, no es bueno"
194,La comida era buena.
195,No nos gustó el ratón en la habitación.
196,"ubicación, desayuno, personal amable"
197,"Camas enormes, personal amable."
198,"Hacía frío en la habitación, baño sucio"
199,Se lo recomendaría a personas jóvenes y que no se preocupan demasiado por la mayoría de las cosas además del dinero.
200,Restaurante italiano a un precio razonable en el vestíbulo con paneles.
201,"Las instalaciones están limpias, el uso de la cocina y la nevera fue excelente y la ubicación es buena."
202,Esperaría que el desayuno caliente y el wifi estuvieran incluidos en el precio.
203,Felix agradeció nuestros cumpleaños con pastelitos y velas y nos proporcionó una habitación con dos camas.
204,"Buena ubicación, tamaño de la habitación y limpieza."
205,"UBICACIÓN seguro, orientado a la familia, supermercado cercano, farmacia de restaurantes, cerca de sitios"
206,Muy buena relación calidad-precio a $ 100 la noche.
207,Desayuno no disponible en el Hotel.
208,El wifi no siempre funcionaba.
209,"tengo que hacer el check-out al mediodía de la mañana siguiente, me siento realmente injusto por el valor que pagamos y el agua del inodoro se derrama"
210,También disfruté del café y magdalenas de desayuno de cortesía.
211,"Ubicación, personal, buen servicio, habitaciones grandes y limpias."
212,La habitación no se limpió ni una sola vez durante nuestra estancia.
213,Dificultad para dormir debido al ruido del tráfico en la calle.
214,Mala wifi
215,La habitación y la ubicación estaban bien y el precio era razonable.
216,Los cócteles en el bar eran caros y muy pobres.
217,No tuvimos agua caliente durante una semana y el hotel estaba ubicado casi debajo del puente de Manhattan.
218,El hotel ofrece un buen desayuno continental que ofrece más que rosquillas.
219,¡Las migas de los bocadillos no se limpiaron durante 3 días!
220,el baño estaba un poco sucio con pelos en las paredes
221,"Habitación muy pequeña, el desayuno debía tomarse de pie."
222,"Excelente ubicación, excelentes cosas útiles, desayuno muy rico."
223,La habitación era ruidosa por la noche por el tráfico y los bares de Amsterdam.
224,Demasiado caro para el desayuno y pobre.
225,Tener que pagar por wifi es una barbaridad.
226,"Era bastante tranquilo, el personal era amable y las habitaciones estaban limpias."
227,"La ubicación era increíble, el precio era genial."
228,Empleado muy amable e instalaciones limpias.
229,"Al igual que la cena y el vino de 5 pm a 7 pm, lo cual también fue encantador."
230,"habitaciones ruidosas, no hay instalaciones más que un bar con restaurante."
231,También sirven un buen café y té en el primer piso.
232,Siempre limpio.
233,También había una mancha de sangre en el edredón que definitivamente no provenía de nosotros.
234,"habitaciones cómodas, buen desayuno, buen gimnasio"
235,Excelente ubicación / personal / valor
236,Los suelos de las habitaciones estaban sucios.
237,Encontré uno barato en 43 y 8 por $ 32 por 24 horas.
238,Las habitaciones estaban limpias y eran cómodas y la ubicación era bastante buena.
239,Comodidad Disfruté del bar y salón de la azotea.
240,Personal agradable y ubicación cerca de cualquier objeto turístico
241,"Bastante sucio (alfombra, muebles)."
242,"La ubicación es perfecta, el personal es excelente y el hotel está impecablemente limpio."
243,"Los ascensores eran un problema; tomó unos minutos conseguir uno; todo el personal los usaba, lo que los hacía ocupados."
244,El personal era muy amable y la habitación y el hotel estaban muy limpios.
245,"Dado el tamaño de las habitaciones, pensé que era caro."
246,"La habitación era un poco mayor, le vendría bien una reforma y era cara."
247,La construcción y el ruido de la calle eran molestos.
248,El vino y el queso gratis tampoco estaban nada mal.
249,Teniendo en cuenta los precios de las bebidas esto podría agregarse.
250,No creo que el precio sea razonable para la habitación pequeña.
251,"Excelente relación calidad-precio y ubicación perfecta, con un excelente restaurante adjunto."
252,El Wifi no funcionó.
253,"no impecable, no refrescaba bolsas de café y té a diario, vasos de plástico"
254,El wifi no era gratis y 15 $ por noche.
255,"limpio y el personal realmente intenta satisfacer las solicitudes, etc."
256,Bastante caro considerando dónde está ubicado.
257,"Ubicación, personal, desayuno, bebidas por la noche."
258,Cabello largo en el baño.
259,"Aunque la zona vecina no parece limpia, el interior del albergue está muy bien cuidado y super limpio."
260,"Personal amable, instalaciones cómodas, vecindario seguro en medio de la vida diurna y nocturna de la ciudad."
261,Debería mejorar el wifi
262,¡El personal es increíble desde la recepción hasta el botones y el barman en el gran bar del ático con vista a Central Park!
263,Wi-Fi gratis
264,"no mucho con respecto a comida o bebidas, nadie para ayudar con el equipaje"
265,"Excelente restaurante, buen menú de servicio a la habitación."
266,"Internet era inestable, los ascensores eran demasiado lentos, a veces el personal de recepción era un poco grosero"
267,Internet solo funcionaba en parte de la habitación.
268,Ubicación; comodidad de la cama; limpiar; bastante; frente al restaurante zuma; buen servicio de Internet (antes era lento); buena selección para el desayuno; la mayoría del personal es amable y servicial ...
269,La limpieza de la habitación estaba bien. El escritorio las 24 horas es excelente.
270,WiFi gratis en el lobby.
271,Soy madrugador y me hubiera gustado relajarme en el vestíbulo con un café.
272,No hay desayuno incluido en una habitación de $ 550 es ridículo.
273,Servicio razonablemente limpio y agradable.
274,"Tienen un excelente vino y queso gratis cada noche, lo que significa reunirse con los propietarios y otros huéspedes."
275,El ascensor estaba lleno y la señal wifi es débil
276,La ubicación y la limpieza son excelentes.
277,Buena relación calidad-precio y personal amable.
278,"El personal era amable y servicial, ¡y la señal de wi-fi era excepcionalmente fuerte!"
279,Capacidad de respuesta del personal de limpieza: los artículos de tocador no se reponían regularmente.
280,"El personal era amable y las instalaciones eran geniales: wifi, PC e impresora, té y café gratis."
281,La conexión WiFi no estaba disponible gratuitamente y tenía un costo diario.
282,"También me cobraron de más; cuando le pido a un miembro de cosas que explique, simplemente culparon a su colega por un error de cálculo y no se disculparon tanto."
283,"El personal es lo que hace este hotel, especialmente la camarera que nos servía el desayuno cada mañana y el camarero de turno por las noches."
284,Para un hotel de 5 estrellas que es una forma muy barata de tratar a los clientes.
285,Hay mucha comida en la zona.
286,"impecable, limpio, moderno y el personal muy amable y realmente servicial."
287,Fue una mala experiencia.
288,"Sin nevera ni microondas, me dieron ganas de volver a casa demasiado caro por el valor del hotel"
289,"Algunos piensan que no funcionó bien: aire, televisión, ventanas abiertas,"
290,"La ubicación es bastante conveniente (el autobús tiene acceso las 24 horas, los 7 días de la semana a la mayor parte de los lugares destacados de Nueva York. El personal es muy útil. Servicio de impresión gratuito. Conexión inalámbrica rápida / gratuita. El servicio de lavandería es una ventaja."
291,"Amabilidad del personal, ubicación"
292,"Aunque la dirección se disculpó, a la otra pareja le ofrecieron la habitación a la mitad de nuestra tarifa."
293,"Bien ubicado, personal amable, cama cómoda, buen wifi."
294,"La habitación era demasiado pequeña para un precio de $ 280 +, ni siquiera se ofreció agua de cortesía"
295,"Me encantó la terraza de la azotea y el área ... el personal de limpieza es increíble, muy educado ... el té y el café eran buenos ... pero fue triste ver un salón y una azotea tan hermosos desperdiciados y vacíos ..."
296,"Servicio con una sonrisa. Aunque en China Town, todavía está en Manhattan. Wifi gratuito y no lento."
297,"Para 3 personas en un dormitorio, el sofá cama es un poco incómodo."
298,Mi hija y yo disfrutamos de la comida en el restaurante (ubicado convenientemente en el hotel).
299,"Aunque las habitaciones no son grandes, están limpias y son cómodas."
300,"no hay vistas (una pared), ruidoso, aire acondicionado ruidoso, acceso a la conexión a Internet muy pobre, el conserje no siempre está allí, el desayuno incluido es muy pobre."
301,La experiencia general del restaurante fue decepcionante.
302,¡Ni siquiera era tan barato!
303,El personal fue muy educado y amable. La habitación estaba limpia y ordenada. Excelente ubicacion
304,Teníamos la vista más icónica del horizonte de Manhattan en cada habitación.
305,Personal amigable. Relativamente limpio (un poco de polvo en el cofre pequeño). Precio justo.
306,Lavandería de autoservicio del hotel. Más espacio que muchos hoteles de Nueva York. Muy limpio. Personal muy amable.
307,¿Seguro que esto va en contra de las normas de seguridad y salud ?.
308,"La habitación es exactamente lo que esperaba, el baño era muy moderno y estaba muy limpio."
309,"1. El personal de la recepción no era amable. 2, la comida (servicio de habitaciones) era horrible y nada comestible."
310,"Pensamos que sería mejor si hubiera un ascensor separado para que lo usaran el personal y el servicio de limpieza, sin embargo, esto no fue un gran problema."
311,Desayuno incluido. Hora feliz. Ordenado y limpio al llegar a la habitación. Café disponible todo el día con cremas aromatizadas en el lobby. Buena ubicacion dentro de la ciudad
312,Todo lo que necesitaba. Cafe era excelente y un precio razonable. El sistema de ascensores (nuevo para mí). No me comí las donas.
313,"muy mal servicio, extremadamente antipático, arrogante y nada servicial, sin orientación al cliente, sin minibar en la habitación ... Tuve que esperar tanto para registrarme."
314,"terrible colchón, cables por todas partes huele ascensor industrial, etc."
315,Desayuno de cortesía - no pude encontrar yogur o fruta que otros estaban comiendo - realmente no había nadie alrededor para preguntar.
316,El precio del alojamiento es demasiado caro para lo que vale.
317,La High Line está cerca y también hay muchas tiendas y restaurantes excelentes.
318,Espacioso. Personal amable y servicial
319,"Ubicación, precio, cosas."
320,El personal fue muy amable. La habitación estaba muy limpia y las toallas estaban como nuevas.
321,"Ubicación, demasiado lejos de las atracciones. Elección de comida del hotel personal del restaurante muy limitado muy remoto"
322,El WiFi gratuito.
323,"Buenos lugares en la ciudad, muy cerca de Times Square y del Rockefeller Center, buenos restaurantes y bares cerca."
324,"Lo disfruté porque estaba limpio, tranquilo y el personal era amable."
325,"Sala de desayuno, habitaciones y ascensores de fácil acceso."
326,ruido del metro desde el puente de Manhattan (el hotel está muy cerca; quizás a 10 metros); wi-fi a veces a veces no lo era)
327,"El precio estaba bien, solo necesitábamos una cama para dormir. El baño y las duchas estaban limpias, la habitación estaba limpia."
328,La ubicacion era genial. El personal fue amigable y útil. El vestíbulo del hotel y la habitación estaban muy limpias. El restaurante (raro) tenía un ambiente genial y buena comida.
329,Fue una buena experiencia.
330,Era demasiado caro.
331,Lo pasé bien.
332,"Me lo pasé bien, pero la habitación era demasiado cara."
333,"Tuve una buena estadía, pero fue demasiado caro."
334,Demasiado caro.
335,Pasé un tiempo mediocre.